"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",1.16996190807373,0.419132397114055,0.00531597470914962
"Year2006",0.112236254881218,0.17688842104719,0.525851061972871
"Year2007",0.230551410127738,0.270783442130823,0.394672485204524
"Year2008",0.246129150292714,0.210597026578936,0.242705196455457
"Year2009",-0.306037546051978,0.216009807483642,0.156759832172291
"Year2010",-0.267895434767902,0.205326055287055,0.192187987183794
"Year2011",-0.386929377204187,0.224851793542111,0.0854935603414671
"Year2012",-0.318653071506367,0.242242445604909,0.188570015104534
"Year2013",-0.716129006665398,0.261814258645186,0.00630794958569065
"Year2014",-0.740539226297023,0.281165891654512,0.00853154034372301
"Year2015",-1.00050529432776,0.270386990659568,0.000223295312208024
"SIC3208",0.441730098231392,0.45272732053968,0.329368922860585
"SIC3211",-0.818710718790161,0.082183170373829,1.14344932886409e-22
"SIC3282",0.234522756212161,0.22624618011031,0.300100761905579
"SIC3283",-0.33274744673092,0.128343939048429,0.00961899155979041
"SIC3284",-0.942887853875989,0.242849646123227,0.000107917734687626
"SIC3357",1.15220892676074,0.168489427643865,1.16931369698789e-11
"SIC3367",0.370123348125322,0.582725545996597,0.525423399940119
"SIC3372",0.816897590089192,0.747181624231913,0.274438563423539
"SIC3381",-0.142802026859968,0.0686481660409796,0.0376795622608204
"SIC3382",0.247527330679997,0.0800654189763024,0.00202839788833648
"SIC3401",-0.661369536935622,0.107723591409883,1.06247630080872e-09
"SIC3451",-0.296824282521312,0.0744598099282635,7.03775351180083e-05
"SIC3481",-0.437442310453051,0.265118809531693,0.0991590100265278
"SIC3488",0.65691449049699,0.215507696595684,0.00234301341929114
"SIC3491",-0.436272205216607,0.0768559138777829,1.65318587475751e-08
"SIC3521",-0.549953868652442,0.099429739122433,3.76044590819368e-08
"SIC3581",-0.921699656734941,0.0821523875642983,4.34827277649912e-28
"SIC3737",1.41992706390089,0.278540054019879,3.88278221885387e-07
"MarketValue_lag2",5.96494543762525e-06,1.34262462160892e-06,9.54539111935966e-06
"ROARel_lag2",-0.113869539995089,0.0826873742192679,0.168687736334536
"SlackRel_lag2",-0.128528261013254,0.253459707728545,0.612163761790347
"PIH_lag2",-0.0164961464101996,0.0198563737645662,0.406236308194674
