"","Min","Max","Mean","SD","Year","MarketValue","ROA","PIH_lag4","AcquisitionCount"
"Year",2004,2015,2009.97959183673,3.16617139748376,1,0.148735685918065,-0.115639487327497,-0.267046110070191,-0.198068987081178
"MarketValue",5487.57509,439679,93324.4762109274,68936.7257306833,0.148735685918065,1,0.101751067940229,-0.0433780160905242,0.270406611433497
"ROA",-0.140759991571258,0.257449690402477,0.0185166228679709,0.0173548219228581,-0.115639487327497,0.101751067940229,1,0.0877504163987309,-0.136993818178983
"PIH_lag4",NA,NA,NA,NA,-0.267046110070191,-0.0433780160905242,0.0877504163987309,1,-0.034319883604354
"AcquisitionCount",0,29,1.84786641929499,3.16639109534669,-0.198068987081178,0.270406611433497,-0.136993818178983,-0.034319883604354,1
