"","Min","Max","Mean","SD","Year","MarketValue","ROA","PIH_lag4","AcquisitionCount"
"Year",2006,2015,2010.55989159892,2.85653264117677,1,0.148735685918065,-0.115639487327497,-0.267046110070191,-0.198068987081178
"MarketValue",5487.57509,439679,94466.4464684875,69465.0100181484,0.148735685918065,1,0.101751067940229,-0.0433780160905242,0.270406611433497
"ROA",-0.0753428153390724,0.257449690402477,0.0185129925888538,0.0171979010211765,-0.115639487327497,0.101751067940229,1,0.0877504163987309,-0.136993818178983
"PIH_lag4",0.000134557823129252,0.460547513759407,0.0500590797530192,0.049627728084583,-0.267046110070191,-0.0433780160905242,0.0877504163987309,1,-0.034319883604354
"AcquisitionCount",0,29,1.7869918699187,3.05847634475932,-0.198068987081178,0.270406611433497,-0.136993818178983,-0.034319883604354,1
