"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",1.48500802271372,0.334256208894678,9.42109083177268e-06
"Year2007",0.236814766808912,0.230849215393782,0.305103477834406
"Year2008",0.286280403699741,0.235783691385849,0.224843218249339
"Year2009",-0.952774602450315,0.234520756576202,5.05967171799668e-05
"Year2010",-1.10998055385496,0.232302515391476,1.91190281534184e-06
"Year2011",-1.02929101219423,0.231710994403013,9.44673034451729e-06
"Year2012",-1.11932949817904,0.231092030457673,1.38345722831871e-06
"Year2013",-1.70897120167464,0.230502739052196,1.87225907234934e-13
"Year2014",-1.90102685083394,0.232633884762227,5.65095461733423e-16
"Year2015",-2.26028649133084,0.236142942783273,3.31518360264093e-21
"SIC3208",0.181942492612116,0.353777679907247,0.607115757220004
"SIC3211",-0.997034527811588,0.435821042578268,0.0222691595656815
"SIC3282",0.336449640060587,0.350820351534662,0.337668487134972
"SIC3283",-0.639745096206663,0.30372972213188,0.035316119906501
"SIC3284",-1.30253826096153,0.353559559694444,0.000236296440996934
"SIC3357",0.955298048757057,0.321953186985069,0.00304477549814241
"SIC3367",0.324303353426616,0.347900690464176,0.35137206627853
"SIC3371",-0.2523030788486,0.434800474631946,0.561802722023174
"SIC3372",0.924521589104807,0.320902757999821,0.00401088722841984
"SIC3381",0.0670416710541067,0.426889450283232,0.87522541900583
"SIC3382",0.197870402981513,0.426655918018279,0.642868082243751
"SIC3401",-0.626818967919529,0.432323179971804,0.147264078232303
"SIC3451",-0.00772716827485747,0.42988182126717,0.985660702778163
"SIC3481",-0.974099699897856,0.375627326655656,0.00958380824076728
"SIC3488",0.721802763235988,0.36975506987337,0.0510793375076525
"SIC3491",-0.314144428468114,0.355975634689281,0.377630037187502
"SIC3521",-0.762838806105483,0.429646294324406,0.0759829454008497
"SIC3581",-1.08523342071223,0.42580375532997,0.0108955135022537
"SIC3602",1.40593649655269,0.32977545872352,2.11809328521706e-05
"SIC3614",-0.0119914339598859,0.447417652886499,0.978621070186513
"SIC3619",1.37234137957488,0.629857238139675,0.0294743564602139
"SIC3621",7.42201990014361,0.363586821816162,1.6352455791403e-83
"SIC3633",-0.583128215091596,0.438996822282461,0.184240184542773
"SIC3737",0.690964304509605,0.350132494965245,0.048597985717792
"SIC3999",5.5730912657851,0.489473357252089,4.68357570242532e-29
"MarketValue",1.07345586647347e-05,1.17693564353227e-06,1.93146291934084e-19
"ROA",-0.486150215131843,4.01480952510573,0.903633818229842
"PIH_lag4",-5.50264394529476,1.28924869455107,2.07360521329184e-05
