"","Estimate","Std. Error","Pr(>|t|)"
"(Intercept)",1.13543035694863,0.418942817166789,0.00680173291408294
"Year2006",0.114078598221267,0.176438745351497,0.518016148447171
"Year2007",0.281816352766109,0.295178422412329,0.339869778516882
"Year2008",0.199332845748726,0.234932020552595,0.396313953734462
"Year2009",-0.292073399494812,0.221485905966014,0.187474509159351
"Year2010",-0.26525722570609,0.215352327694755,0.218244296186519
"Year2011",-0.37932591351009,0.23511724467615,0.106883140136805
"Year2012",-0.332951979788229,0.243821100287516,0.172286060043862
"Year2013",-0.729412236480122,0.27092842344083,0.00717717329639903
"Year2014",-0.764221001468711,0.281268579495974,0.006663782157434
"Year2015",-0.98965532308389,0.271093896530563,0.000270774992493555
"SIC3208",0.427310156603904,0.454641500776091,0.347431293246513
"SIC3211",-0.815015210449365,0.0878052724818912,5.74952053234211e-20
"SIC3282",0.244807732657123,0.235311455825765,0.298345171022679
"SIC3283",-0.344412693077862,0.128652728787104,0.00750930831996019
"SIC3284",-0.954872036341068,0.239189574697119,6.87115723008334e-05
"SIC3357",1.15145186730415,0.182437586655522,3.64858291594322e-10
"SIC3367",0.371574356102092,0.573649535362795,0.517255641985711
"SIC3372",0.82173943892244,0.744867512263487,0.270119587476901
"SIC3381",-0.130238948024496,0.0779933704436778,0.0951571534851169
"SIC3382",0.25271511306355,0.0867864843619693,0.00364625098932614
"SIC3401",-0.64912485263587,0.119403223081472,6.3548955881046e-08
"SIC3451",-0.28133718511983,0.083295960745589,0.000750381716627528
"SIC3481",-0.467218648033327,0.253506268324918,0.0655260255287196
"SIC3488",0.645511670771496,0.243508309452986,0.00811424092131747
"SIC3491",-0.426431611972315,0.0901986858915059,2.48806431669012e-06
"SIC3521",-0.558210793918278,0.103236812477272,7.46377815677213e-08
"SIC3581",-0.926265253609701,0.0874482983601687,2.5688789671166e-25
"SIC3737",1.39132248753026,0.292124295514265,2.09760086631846e-06
"MarketValue_lag1",6.19712394145136e-06,1.37412894038608e-06,7.00153012380966e-06
"ROARel_lag1",-0.0188393226509201,0.0735192572559656,0.797793448361753
"SlackRel_lag1",-0.207046992006118,0.246657594926141,0.401375164960924
"PIH_lag1",-0.0172232966307925,0.0208752212828492,0.409471484297814
